artist,title,album,date,lyrics
Coldplay,The Scientist,A Rush of Blood to the Head,2002-08-26,
Coldplay,Viva la Vida,Viva La Vida or Death and All His Friends,2008-05-25,
Coldplay,Fix You,X&Y,2005-06-06,
Coldplay,Yellow,Parachutes,2000-06-26,
Coldplay,Hymn for the Weekend,A Head Full of Dreams,2016-01-25,
Coldplay,A Sky Full of Stars,Ghost Stories,2014-05-02,
Coldplay,Everglow,A Head Full of Dreams,2015-11-26,
Coldplay,Adventure of a Lifetime,A Head Full of Dreams,2015-11-06,
Coldplay,Orphans,Everyday Life,2019-10-24,
Coldplay,Paradise,Mylo Xyloto,2011-09-12,
Coldplay,Magic,Ghost Stories,2014-03-03,
Coldplay,Clocks,A Rush of Blood to the Head,2002-08-26,
Coldplay,Daddy,Everyday Life,2019-11-20,
Coldplay,Everyday Life,Everyday Life,2019-11-03,
Coldplay,Sparks,Parachutes,2000-07-10,
Coldplay,Up&Up,A Head Full of Dreams,2015-12-04,
Coldplay,Trouble,Parachutes,2000-07-10,
Coldplay,Arabesque,Everyday Life,2019-10-25,
Coldplay,Hypnotised,Kaleidoscope [EP],2017-03-02,
Coldplay,All I Can Think About Is You,Kaleidoscope [EP],2017-07-14,
Coldplay,Fly On,Ghost Stories Live 2014,2014-05-16,
Coldplay,Champion of the World,Everyday Life,2019-11-20,
Coldplay,Violet Hill,Viva La Vida or Death and All His Friends,2008-05-09,
Coldplay,Ink,Ghost Stories,2014-05-16,
Coldplay,In My Place,A Rush of Blood to the Head,2002-08-05,
Coldplay,Church,Everyday Life,2019-11-22,
Coldplay,Always in My Head,Ghost Stories,2014-05-16,
Coldplay,Midnight,Ghost Stories,2014-04-17,
Coldplay,Shiver,Parachutes,2000-03-06,
Coldplay,Strawberry Swing,Viva La Vida or Death and All His Friends,2008-06-12,
Coldplay,Trouble in Town,Everyday Life,2019-11-22,
Coldplay,True Love,Ghost Stories,2014-05-16,
Coldplay,O,Ghost Stories,2014-05-16,
Coldplay,A Rush of Blood to the Head,A Rush of Blood to the Head,2002-08-26,
Coldplay,Green Eyes,A Rush of Blood to the Head,2002-08-26,
Coldplay,Every Teardrop Is a Waterfall,iTunes Festival: London 2011,2011-06-03,
Coldplay,Don’t Panic,Parachutes,2000-07-10,
Coldplay,Charlie Brown,Mylo Xyloto,2011-10-19,
Coldplay,Fun,A Head Full of Dreams,2015-12-04,
Coldplay,Amazing Day,A Head Full of Dreams,2015-12-04,
Coldplay,Speed of Sound,X&Y,2005-04-18,
Coldplay,A Head Full of Dreams,A Head Full of Dreams,2016-08-19,
Coldplay,Warning Sign,A Rush of Blood to the Head,2002-08-26,
Coldplay,Amsterdam,A Rush of Blood to the Head,2002-08-26,
Coldplay,Cry Cry Cry,Everyday Life,2019-11-22,
Coldplay,Lost!,Viva La Vida or Death and All His Friends,2008-06-12,
Coldplay,A L I E N S,Kaleidoscope [EP],2017-07-07,
Coldplay,بنی آدم (Children of Adam),Everyday Life,2019-11-22,
Coldplay,Hymn for the Weekend (Seeb Remix),Hymn for the Weekend (Remixes),2016-05-14,
Coldplay,Talk,X&Y,2005-06-06,
Taylor Swift,​cardigan,folklore,2020-07-24,
Taylor Swift,​exile,folklore,2020-07-24,
Taylor Swift,Lover,Lover,2019-08-16,
Taylor Swift,​the 1,folklore,2020-07-24,
Taylor Swift,Look What You Made Me Do,reputation,2017-08-25,
Taylor Swift,​betty,folklore,2020-07-24,
Taylor Swift,End Game,reputation,2017-11-10,
Taylor Swift,ME!,Lover,2019-04-26,
Taylor Swift,You Need To Calm Down,Lover,2019-06-14,
Taylor Swift,​august,folklore,2020-07-24,
Taylor Swift,...Ready for It?,reputation,2017-09-03,
Taylor Swift,Blank Space,1989,2014-10-27,
Taylor Swift,​my tears ricochet,folklore,2020-07-24,
Taylor Swift,​invisible string,folklore,2020-07-24,
Taylor Swift,Delicate,reputation,2017-11-10,
Taylor Swift,Call It What You Want,reputation,2017-11-03,
Taylor Swift,​the last great american dynasty,folklore,2020-07-24,
Taylor Swift,Bad Blood (Remix),Now That’s What I Call Music! 56 [US],2015-05-17,
Taylor Swift,Cruel Summer,Lover,2019-08-23,
Taylor Swift,Style,1989,2014-10-27,
Taylor Swift,​seven,folklore,2020-07-24,
Taylor Swift,​illicit affairs,folklore,2020-07-24,
Taylor Swift,​this is me trying,folklore,2020-07-24,
Taylor Swift,Gorgeous,reputation,2017-10-20,
Taylor Swift,​mad woman,folklore,2020-07-24,
Taylor Swift,The Man,Lover,2019-08-23,
Taylor Swift,​peace,folklore,2020-07-24,
Taylor Swift,Don’t Blame Me,reputation,2017-11-10,
Taylor Swift,I Did Something Bad,reputation,2017-11-10,
Taylor Swift,Dress,reputation,2017-11-10,
Taylor Swift,​mirrorball,folklore,2020-07-24,
Taylor Swift,​hoax,folklore,2020-07-24,
Taylor Swift,The Archer,Lover,2019-07-23,
Taylor Swift,Getaway Car,reputation,2017-11-10,
Taylor Swift,Bad Blood,1989,2014-10-27,
Taylor Swift,​epiphany,folklore,2020-07-24,
Taylor Swift,Miss Americana & The Heartbreak Prince,Lover,2019-08-23,
Taylor Swift,London Boy,Lover,2019-08-23,
Taylor Swift,Love Story,Fearless,2008-09-12,
Taylor Swift,Cornelia Street,Lover,2019-08-23,
Taylor Swift,Wildest Dreams,1989,2014-10-27,
Taylor Swift,King of My Heart,reputation,2017-11-10,
Taylor Swift,Daylight,Lover,2019-08-23,
Taylor Swift,All Too Well,Red (Deluxe Edition),2012-10-22,
Taylor Swift,I Forgot That You Existed,Lover,2019-08-23,
Taylor Swift,Death by a Thousand Cuts,Lover,2019-08-23,
Taylor Swift,​the lakes,folklore (deluxe version),2020-08-18,
Taylor Swift,New Year’s Day,reputation,2017-11-10,
Taylor Swift,Paper Rings,Lover,2019-08-23,
Taylor Swift,So It Goes...,reputation,2017-11-10,
Kendrick Lamar,HUMBLE.,DAMN.,2017-03-30,
Kendrick Lamar,​m.A.A.d city,"good kid, m.A.A.d city (Deluxe Version)",2012-10-22,
Kendrick Lamar,Swimming Pools (Drank),"good kid, m.A.A.d city (Deluxe Version)",2012-07-31,
Kendrick Lamar,DNA.,DAMN.,2017-04-14,
Kendrick Lamar,Money Trees,"good kid, m.A.A.d city (Deluxe Version)",2012-10-22,
Kendrick Lamar,XXX.,DAMN.,2017-04-14,
Kendrick Lamar,"Bitch, Don’t Kill My Vibe","good kid, m.A.A.d city (Deluxe Version)",2012-10-22,
Kendrick Lamar,Poetic Justice,"good kid, m.A.A.d city (Deluxe Version)",2012-10-22,
Kendrick Lamar,King Kunta,To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,LOVE.,DAMN.,2017-04-14,
Kendrick Lamar,Backseat Freestyle,"good kid, m.A.A.d city (Deluxe Version)",2012-10-15,
Kendrick Lamar,Alright,To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,The Blacker the Berry,To Pimp a Butterfly,2015-02-09,
Kendrick Lamar,ELEMENT.,DAMN.,2017-04-14,
Kendrick Lamar,"Sing About Me, I’m Dying of Thirst","good kid, m.A.A.d city (Deluxe Version)",2012-10-22,
Kendrick Lamar,LOYALTY.,DAMN.,2017-04-14,
Kendrick Lamar,​i (Album Version),To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,A.D.H.D.,Section.80,2011-07-02,
Kendrick Lamar,FEAR.,DAMN.,2017-04-14,
Kendrick Lamar,Mortal Man,To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,Wesley’s Theory,To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,The Heart Part 4,,2017-03-23,
Kendrick Lamar,​u,To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,The Art of Peer Pressure,"good kid, m.A.A.d city (Deluxe Version)",2012-10-22,
Kendrick Lamar,PRIDE.,DAMN.,2017-04-14,
Kendrick Lamar,DUCKWORTH.,DAMN.,2017-04-14,
Kendrick Lamar,Rigamortis,Section.80,2011-07-02,
Kendrick Lamar,HiiiPoWeR,Section.80,2011-04-12,
Kendrick Lamar,Black Friday,Two,2015-11-27,
Kendrick Lamar,How Much a Dollar Cost,To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,These Walls,To Pimp a Butterfly,2015-10-13,
Kendrick Lamar,Hood Politics,To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,The Recipe,"good kid, m.A.A.d city (Deluxe Version)",2012-04-03,
Kendrick Lamar,FEEL.,DAMN.,2017-04-14,
Kendrick Lamar,Sherane a.k.a Master Splinter’s Daughter,"good kid, m.A.A.d city (Deluxe Version)",2012-10-22,
Kendrick Lamar,LUST.,DAMN.,2017-04-14,
Kendrick Lamar,​untitled 02 | 06.23.2014.,untitled unmastered.,2016-03-03,
Kendrick Lamar,"Bitch, Don’t Kill My Vibe (Remix)","good kid, m.A.A.d city (Deluxe Version)",2013-03-19,
Kendrick Lamar,YAH.,DAMN.,2017-04-14,
Kendrick Lamar,GOD.,DAMN.,2017-04-14,
Kendrick Lamar,For Free? (Interlude),To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,Real,"good kid, m.A.A.d city (Deluxe Version)",2012-10-22,
Kendrick Lamar,BLOOD.,DAMN.,2017-04-14,
Kendrick Lamar,Cartoon & Cereal,"good kid, m.A.A.d city",2012-02-15,
Kendrick Lamar,Institutionalized,To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,​good kid,"good kid, m.A.A.d city (Deluxe Version)",2012-10-22,
Kendrick Lamar,Momma,To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,​untitled 07 | 2014-2016,untitled unmastered.,2016-03-03,
Kendrick Lamar,For Sale? (Interlude),To Pimp a Butterfly,2015-03-15,
Kendrick Lamar,Complexion (A Zulu Love),To Pimp a Butterfly,2015-03-15,
Metallica,Nothing Else Matters,Metallica,1991-08-12,
Metallica,One,...And Justice for All,1989-08-25,
Metallica,Enter Sandman,Metallica,1991-08-12,
Metallica,Master of Puppets,Master of Puppets,1986-03-03,
Metallica,The Unforgiven,Metallica,1991-10-28,
Metallica,Fade to Black,Ride the Lightning,1984-07-27,
Metallica,For Whom the Bell Tolls,Ride the Lightning,1984-07-27,
Metallica,Sad But True,Metallica,1991-08-12,
Metallica,Welcome Home (Sanitarium),Master of Puppets,1986-03-03,
Metallica,Creeping Death,Ride the Lightning,1984-07-27,
Metallica,Wherever I May Roam,Metallica,1991-08-12,
Metallica,...And Justice for All,...And Justice for All,1988-08-25,
Metallica,Battery,Master of Puppets,1986-03-03,
Metallica,Blackened,...And Justice for All,1988-08-25,
Metallica,The Unforgiven II,Reload,1997-11-18,
Metallica,"Atlas, Rise!",Hardwired…To Self-Destruct (Deluxe Edition),2016-10-31,
Metallica,Turn the Page,Garage Inc.,1998-11-24,
Metallica,The Four Horsemen,Kill ‘Em All,1983-07-25,
Metallica,Seek & Destroy,Kill ‘Em All,1983-07-25,
Metallica,Ride the Lightning,Ride the Lightning,1984-07-27,
Metallica,The Day That Never Comes,Death Magnetic,2008-09-12,
Metallica,The Unforgiven III,Death Magnetic,2008-09-12,
Metallica,Fuel,Reload,1997-11-18,
Metallica,Hardwired,Hardwired…To Self-Destruct (Deluxe Edition),2016-11-18,
Metallica,Disposable Heroes,Master of Puppets,1986-03-03,
Metallica,To Live Is to Die,...And Justice for All,1988-08-25,
Metallica,Dyers Eve,...And Justice for All,1988-08-25,
Metallica,Harvester of Sorrow,...And Justice for All,1988-08-25,
Metallica,Whiskey in the Jar,Garage Inc.,1998-11-24,
Metallica,The Thing That Should Not Be,Master of Puppets,1986-03-03,
Metallica,St. Anger,St. Anger,2003-06-05,
Metallica,Moth Into Flame,Hardwired…To Self-Destruct (Deluxe Edition),2016-09-26,
Metallica,Whiplash,Kill ‘Em All,1983-07-25,
Metallica,Now That We’re Dead,Hardwired…To Self-Destruct (Deluxe Edition),2016-11-18,
Metallica,Orion,Master of Puppets,1986-03-03,
Metallica,Don’t Tread on Me,Metallica,1991-08-12,
Metallica,Until It Sleeps,Load,1996-06-04,
Metallica,No Leaf Clover,S&M (Live),1999-11-23,
Metallica,Leper Messiah,Master of Puppets,1986-03-03,
Metallica,King Nothing,Load,1996-06-04,
Metallica,Eye of the Beholder,...And Justice for All,1988-08-25,
Metallica,Spit Out the Bone,Hardwired…To Self-Destruct (Deluxe Edition),2016-11-18,
Metallica,Mama Said,Load,1996-06-04,
Metallica,Halo on Fire,Hardwired…To Self-Destruct (Deluxe Edition),2016-11-18,
Metallica,Hero of the Day,Load,1996-06-04,
Metallica,Fight Fire with Fire,Ride the Lightning,1984-07-27,
Metallica,"Damage, Inc.",Master of Puppets,1986-03-03,
Metallica,Am I Evil?,Garage Inc.,1998-11-24,
Metallica,The Memory Remains,Reload,1997-11-18,
Metallica,The Shortest Straw,...And Justice for All,1988-08-25,
Beyoncé,Drunk in Love,BEYONCÉ,2013-12-17,
Beyoncé,Formation,Lemonade,2016-02-06,
Beyoncé,Partition,BEYONCÉ,2013-12-13,
Beyoncé,Mine,BEYONCÉ,2013-12-13,
Beyoncé,Hold Up,Lemonade,2016-04-23,
Beyoncé,Sorry,Lemonade,2016-04-23,
Beyoncé,***Flawless (Remix),BEYONCÉ (Platinum Edition),2014-08-02,
Beyoncé,If I Were a Boy,I Am... Sasha Fierce,2008-10-12,
Beyoncé,Pray You Catch Me,Lemonade,2016-04-23,
Beyoncé,All Night,Lemonade,2016-04-23,
Beyoncé,***Flawless,BEYONCÉ,2013-12-13,
Beyoncé,Halo,I Am... Sasha Fierce,2009-02-20,
Beyoncé,Freedom,Lemonade,2016-04-23,
Beyoncé,Don’t Hurt Yourself,Lemonade,2016-04-23,
Beyoncé,Rocket,BEYONCÉ,2013-12-13,
Beyoncé,Blow,BEYONCÉ,2013-12-13,
Beyoncé,Sandcastles,Lemonade,2016-04-23,
Beyoncé,7/11,BEYONCÉ (Platinum Edition),2014-11-24,
Beyoncé,6 Inch,Lemonade,2016-04-23,
Beyoncé,Love Drought,Lemonade,2016-04-23,
Beyoncé,Listen,B’Day,2006-12-05,
Beyoncé,Pretty Hurts,BEYONCÉ,2013-12-13,
Beyoncé,Drunk in Love (Remix),BEYONCÉ (Platinum Edition),2014-11-24,
Beyoncé,XO,BEYONCÉ,2013-12-13,
Beyoncé,Haunted,BEYONCÉ,2013-12-13,
Beyoncé,Jealous,BEYONCÉ,2013-12-13,
Beyoncé,Daddy Lessons,Lemonade,2016-04-23,
Beyoncé,Heaven,BEYONCÉ,2013-12-13,
Beyoncé,Countdown,4,2011-10-04,
Beyoncé,Bow Down,,,
Beyoncé,Irreplaceable,B’Day,2006-10-23,
Beyoncé,BLACK PARADE,The Lion King: The Gift [Deluxe Edition],2020-06-19,
Beyoncé,Crazy in Love,Dangerously In Love,2003-05-18,
Beyoncé,Forward,Lemonade,2016-04-23,
Beyoncé,Blue,BEYONCÉ,2013-12-13,
Beyoncé,MOOD 4 EVA,The Lion King: The Gift,2019-07-18,
Beyoncé,Lemonade Film (Script),Lemonade,2016-04-23,
Beyoncé,Upgrade U,B’Day,2006-09-04,
Beyoncé,Superpower,BEYONCÉ,2013-12-13,
Beyoncé,No Angel,BEYONCÉ,2013-12-13,
Beyoncé,Love on Top,4,2011-09-12,
Beyoncé,Resentment,B’Day,2006-09-04,
Beyoncé,Best Thing I Never Had,4,2011-06-01,
Beyoncé,SPIRIT,The Lion King: The Gift,2019-07-10,
Beyoncé,Single Ladies (Put a Ring on It),I Am... Sasha Fierce,2008-09-13,
Beyoncé,Party,4,2011-08-30,
Beyoncé,Back to Black,The Great Gatsby: Music from Baz Luhrmann’s Film (Deluxe Edition),2013-05-06,
Beyoncé,Die With You,,2015-04-04,
Beyoncé,Run the World (Girls),4,2011-04-21,
Beyoncé,Dance for You,4,2011-06-28,
